city,country,Historical,espace_vert,plage,population(hab),musées,Nombre de Musées,romantique,populationType_Grande,populationType_Moyenne,populationType_Petite,musee
Madrid,Spain,0,1,0,3332035,"['centre sur la peinture antérieure au XX e siècle', 'musée Thyssen-Bornemisza et le musée Reina Sofía', 'Musée du Prado',  'centres de référence','musée du Prado est l'un des plus importants musées au monde consacré principalement à la peinture', 'Musée Reina Sofía et Musée Thyssen-Bornemisza', 'musée présente également des exemples d'autres artistes du début du siècle', 'musée Thyssen-Bornemisza représente l'une des plus grandes collections d'art privées au monde', 'galerie consacrée au Titien', 'musée est le seul en Espagne à présenter un panorama cohérent de tendances picturales telles que l'impressionnisme', 'Musée Reina Sofía est le musée national d' art contemporain', 'musées importants', 'Musée Reina Sofía', 'musée du Prado']",15,1,1,0,0,1
Barcelona,Spain,0,1,1,134985,[],0,1,1,0,0,0
Casablanca,Morocco,0,1,1,3566020,"['musée du judaïsme du monde arabe','centre-ville', 'musée Abderrahman Slaoui accueille des collections uniques de bijoux anciens', 'musée du Judaïsme marocain', 'musée sur le judaïsme dans le Monde arabe', 'musée casablancais de musique andalouse Dar Al Ala', 'Galeries Lafayette', ""musée de la musique andalouse propose trois petites salles d'expositions consacrées aux instruments"", ""Galeries Lafayette s'y installent dans les années 1930"", ""centre d'une place plantée de plusieurs arbres dont l'un porte de nombreux clous sur son tronc en raison d'une coutume ancestrale qui consiste à planter des clous dans le tronc de cet arbre par les pèlerins pour implorer de l'aide au saint"", 'Galerie de photographies']",11,0,1,0,0,1
Valencia,Spain,0,1,1,807693,"['Musée des Sciences Principe Felipe', 'centre sportif',  ""Musée des Beaux-Arts de Valencia Musée de la céramique Musée d'Histoire de Valencia Musée de la Soie Musée des Soldats de Plomb Maison Musée du peintre José Benlliure et de son fils Mariano Benlliure Bibliothèque valencienne Bibliothèque publique de Valence Arts de la scène"", 'centres sportifs de chaque quartier', 'musée de la tauromachie', 'Centre municipal de Pelota Valenciana de Masarrochos', ""centres sportifs d'Orriols"", 'ateliers de charpenterie']",8,0,1,0,0,1
Porto,Portugal,0,1,0,231800,[],0,0,1,0,0,0
Fès,Morocco,1,1,0,1365000,"['Galerie Mohamed Kacimi', 'centre-ville comporte une salle de théâtre et de concerts', ""atelier de production et de formation de L'appartement 22 est développé par Abdellah Karroum""]",3,0,1,0,0,1
Sevilla,Spain,0,1,0,684025,[],0,1,1,0,0,0
Málaga,Spain,0,1,1,586384,"['centre d', 'musées', 'Centre Pompidou Málaga est ouvert depuis le 28 mars 2015', 'musée Carmen Thyssen Bornemisza accueille la collection de la baronne', 'musée municipal d', 'musée Picasso de Malaga']",6,0,1,0,0,1
Marrakech,Morocco,1,0,0,928850,"[""Musée d'art islamique de Marrakech"", 'Musée Bert-Flint ou maison Tiskwin', 'Musée Dar Si Saïd', 'Musée de la Palmeraie', 'Musée de Marrakech', 'Musée Yves Saint Laurent de Marrakech', 'Musée de Mouassine', ""musée berbère de la vallée de l'Ourika""]",8,1,1,0,0,1
Tangier,Morocco,0,1,1,134985,[],0,0,1,0,0,0
Sale,Morocco,0,1,1,890403,[],0,0,1,0,0,0
Bilbao,Spain,0,1,1,346096,['Musée Guggenheim'],0,0,1,0,0,0
Zaragoza,Spain,0,1,0,134985,[],0,0,1,0,0,0
Murcia,Spain,0,1,0,1516055,[],0,0,1,0,0,0
Las Palmas,Spain,0,1,1,378027,"[""musée Museo Canario dans lequel on peut voir d'importants vestiges de l'époque des Guanches"", 'musée retrace les expéditions vers le nouveau monde', ""musée d'art moderne Centro Atlántico de Arte Moderno""]",3,0,1,0,0,1
Rabat,Morocco,0,1,1,645500,"['Musée Mohammed VI', 'galeries officielles sont Bâb Er-Rouah', 'musée des Arts contemporains']",3,0,1,0,0,1
Palma,Spain,0,1,1,423350,['centre historique est assez vaste et permet à la ville de garder un caractère authentique'],1,0,1,0,0,1
Lisbon,Portugal,0,1,1,134985,[],0,1,1,0,0,0
Santa Cruz,Spain,0,1,1,209395,"['centre culturel qui héberge une bibliothèque ouverte au public 24h', ""centres maçonniques d'Espagne avant sa saisie par le régime franquiste en 1936"", ""ateliers maçonniques les plus importants d'Espagne au XX e siècle"", 'musée municipal des beaux-arts', ""centre maçonnique d'Espagne jusqu'à l'occupation militaire du franquisme"", 'musée historique militaire des Canaries', 'Musées et institutions', ""centre le monument aux morts de la guerre d'Espagne"", 'Musée Municipal des Beaux-Arts de Santa Cruz de Tenerife Temple maçonnique de Santa Cruz de Tenerife', ""musée de la Nature et de l'Homme"", 'centre international de Foires et Congrès de Tenerife']",11,0,1,0,0,1
Meknès,Morocco,1,0,0,942945,"['Musées et medersas', 'Musée de la poterie rifaine', 'Musée de la Musique', 'Musée Dar Jamaï']",4,0,1,0,0,1
